R;Z;BFS_Sag;CRD;Slope;BFS_Slope;Slope_Delta;One_fiber_coverage;delta_z1
563;-14.55601;-14.42672;-0.1292871;-0.05387928;-0.05128313;0.002596152;#NOMBRE!;#NOMBRE!
564;-14.60994;-14.47805;-0.1318932;-0.05399044;-0.05137446;0.002615986;#NOMBRE!;#NOMBRE!
565;-14.66399;-14.52947;-0.1345191;-0.05410169;-0.05146579;0.0026359;#NOMBRE!;#NOMBRE!
566;-14.71815;-14.58098;-0.137165;-0.05421302;-0.05155712;0.002655896;#NOMBRE!;#NOMBRE!
567;-14.77242;-14.63258;-0.139831;-0.05432443;-0.05164845;0.002675974;#NOMBRE!;#NOMBRE!
568;-14.8268;-14.68428;-0.142517;-0.05443592;-0.05173979;0.002696132;#NOMBRE!;#NOMBRE!
569;-14.88129;-14.73606;-0.1452233;-0.0545475;-0.05183112;0.002716373;#NOMBRE!;#NOMBRE!
570;-14.93589;-14.78794;-0.1479498;-0.05465916;-0.05192246;0.002736695;#NOMBRE!;#NOMBRE!
571;-14.99061;-14.83991;-0.1506967;-0.0547709;-0.0520138;0.002757099;#NOMBRE!;#NOMBRE!
572;-15.04543;-14.89197;-0.153464;-0.05488272;-0.05210514;0.002777585;#NOMBRE!;#NOMBRE!
573;-15.10037;-14.94412;-0.1562519;-0.05499463;-0.05219648;0.002798154;#NOMBRE!;#NOMBRE!
574;-15.15542;-14.99636;-0.1590603;-0.05510663;-0.05228782;0.002818804;#NOMBRE!;#NOMBRE!
575;-15.21058;-15.0487;-0.1618895;-0.0552187;-0.05237916;0.002839537;#NOMBRE!;#NOMBRE!
576;-15.26586;-15.10112;-0.1647394;-0.05533086;-0.05247051;0.002860353;#NOMBRE!;#NOMBRE!
577;-15.32125;-15.15364;-0.1676102;-0.05544311;-0.05256186;0.002881252;#NOMBRE!;#NOMBRE!
578;-15.37675;-15.20624;-0.170502;-0.05555544;-0.0526532;0.002902233;#NOMBRE!;#NOMBRE!
579;-15.43236;-15.25894;-0.1734147;-0.05566785;-0.05274455;0.002923297;#NOMBRE!;#NOMBRE!
580;-15.48808;-15.31173;-0.1763486;-0.05578035;-0.0528359;0.002944445;#NOMBRE!;#NOMBRE!
581;-15.54392;-15.36461;-0.1793037;-0.05589293;-0.05292725;0.002965676;#NOMBRE!;#NOMBRE!
582;-15.59987;-15.41759;-0.18228;-0.0560056;-0.05301861;0.002986991;#NOMBRE!;#NOMBRE!
583;-15.65593;-15.47065;-0.1852777;-0.05611835;-0.05310996;0.003008389;#NOMBRE!;#NOMBRE!
584;-15.7121;-15.52381;-0.1882968;-0.05623119;-0.05320132;0.003029871;#NOMBRE!;#NOMBRE!
585;-15.76839;-15.57705;-0.1913374;-0.05634411;-0.05329267;0.003051436;#NOMBRE!;#NOMBRE!
586;-15.82479;-15.63039;-0.1943997;-0.05645712;-0.05338403;0.003073086;#NOMBRE!;#NOMBRE!
587;-15.88131;-15.68382;-0.1974836;-0.05657021;-0.05347539;0.00309482;#NOMBRE!;#NOMBRE!
588;-15.93793;-15.73734;-0.2005894;-0.05668339;-0.05356675;0.003116639;#NOMBRE!;#NOMBRE!
589;-15.99467;-15.79096;-0.2037169;-0.05679665;-0.05365811;0.003138542;#NOMBRE!;#NOMBRE!
590;-16.05153;-15.84466;-0.2068665;-0.05691;-0.05374948;0.003160529;#NOMBRE!;#NOMBRE!
