#Listing of surface sag

#File : D:\Beast\Lampton\LamptonChiefRayADC_3_newAngles_240_ADC25_FP50_f36_1cr_4con.zmx
#Title: 
#Date : 10/16/2023
#Configuration 1 of 3

#Units are Millimeters.
#Slope units are dimensionless.
#Clear Semi-Diameter of surface 22:   4.084421E+02.
#Algorithm assumes +z goes from air to glass.

#Method: Minimum Volume Removal
#Best Fit Sphere Radius        : 	 -1.277364E+04
#Best Fit Sphere Vertex Offset : 	 -4.512461E-02
#Maximum Depth to Remove       : 	  4.512461E-02
#RMS of Depth to Remove        : 	  1.879436E-02
#Maximum Slope Deviation       : 	  2.902025E-03
#RMS Slope Deviation           : 	  6.594154E-04
#Volume To Remove              : 	  7.887209E+03	 cubic Millimeters

       Y-coord 	        Sag 	        BFS Sag 	        Deviation 	        Remove 	              Slope 	        BFS Slope 	       Slope Delta
  1.240000E+02 	  -6.398926E-01 	  -6.018788E-01 	  -3.801373E-02 	   7.110883E-03 	  -1.001992E-02 	  -9.706353E-03 	   3.135651E-04
  1.250000E+02 	  -6.499503E-01 	  -6.116259E-01 	  -3.832440E-02 	   6.800205E-03 	  -1.009265E-02 	  -9.784650E-03 	   3.079981E-04
  1.260000E+02 	  -6.600808E-01 	  -6.214513E-01 	  -3.862945E-02 	   6.495156E-03 	  -1.016526E-02 	  -9.862948E-03 	   3.023130E-04
  1.270000E+02 	  -6.702838E-01 	  -6.313550E-01 	  -3.892876E-02 	   6.195852E-03 	  -1.023776E-02 	  -9.941246E-03 	   2.965117E-04
  1.280000E+02 	  -6.805592E-01 	  -6.413370E-01 	  -3.922220E-02 	   5.902410E-03 	  -1.031014E-02 	  -1.001954E-02 	   2.905962E-04
  1.290000E+02 	  -6.909070E-01 	  -6.513973E-01 	  -3.950967E-02 	   5.614941E-03 	  -1.038241E-02 	  -1.009784E-02 	   2.845683E-04
  1.300000E+02 	  -7.013270E-01 	  -6.615359E-01 	  -3.979105E-02 	   5.333558E-03 	  -1.045457E-02 	  -1.017614E-02 	   2.784301E-04
  1.310000E+02 	  -7.118190E-01 	  -6.717528E-01 	  -4.006624E-02 	   5.058370E-03 	  -1.052662E-02 	  -1.025444E-02 	   2.721837E-04
  1.320000E+02 	  -7.223831E-01 	  -6.820480E-01 	  -4.033512E-02 	   4.789484E-03 	  -1.059857E-02 	  -1.033274E-02 	   2.658310E-04
  1.330000E+02 	  -7.330191E-01 	  -6.924215E-01 	  -4.059760E-02 	   4.527004E-03 	  -1.067041E-02 	  -1.041104E-02 	   2.593744E-04
  1.340000E+02 	  -7.437268E-01 	  -7.028732E-01 	  -4.085357E-02 	   4.271035E-03 	  -1.074215E-02 	  -1.048934E-02 	   2.528159E-04
  1.350000E+02 	  -7.545063E-01 	  -7.134033E-01 	  -4.110293E-02 	   4.021676E-03 	  -1.081379E-02 	  -1.056763E-02 	   2.461578E-04
  1.360000E+02 	  -7.653573E-01 	  -7.240117E-01 	  -4.134558E-02 	   3.779026E-03 	  -1.088534E-02 	  -1.064593E-02 	   2.394025E-04
  1.370000E+02 	  -7.762798E-01 	  -7.346984E-01 	  -4.158143E-02 	   3.543180E-03 	  -1.095679E-02 	  -1.072423E-02 	   2.325522E-04
  1.380000E+02 	  -7.872738E-01 	  -7.454634E-01 	  -4.181037E-02 	   3.314234E-03 	  -1.102814E-02 	  -1.080253E-02 	   2.256095E-04
  1.390000E+02 	  -7.983390E-01 	  -7.563067E-01 	  -4.203233E-02 	   3.092277E-03 	  -1.109941E-02 	  -1.088083E-02 	   2.185766E-04
