robot_number;x [mm];y [mm];geometry
23204;262.22627944162883;-305.6969892387285;POINT (262.22627944162883 -305.6969892387285)
23205;262.22627944162883;-294.9589892387285;POINT (262.22627944162883 -294.9589892387285)
23206;262.22627944162883;4.909999999999982;POINT (262.22627944162883 4.909999999999982)
23207;262.22627944162883;15.647999999999982;POINT (262.22627944162883 15.647999999999982)
23208;262.22627944162883;26.385999999999985;POINT (262.22627944162883 26.385999999999985)
23209;262.22627944162883;37.12399999999998;POINT (262.22627944162883 37.12399999999998)
23210;262.22627944162883;336.99298923872846;POINT (262.22627944162883 336.99298923872846)
23211;262.22627944162883;347.73098923872845;POINT (262.22627944162883 347.73098923872845)
23212;262.22627944162883;358.46898923872845;POINT (262.22627944162883 358.46898923872845)
23213;262.22627944162883;369.20698923872845;POINT (262.22627944162883 369.20698923872845)
23214;262.7923048039622;-280.3171625660565;POINT (262.7923048039622 -280.3171625660565)
23215;262.7923048039622;-269.5791625660565;POINT (262.7923048039622 -269.5791625660565)
23216;262.7923048039622;-258.8411625660565;POINT (262.7923048039622 -258.8411625660565)
23217;262.7923048039622;51.76582667267203;POINT (262.7923048039622 51.76582667267203)
23218;262.7923048039622;62.50382667267203;POINT (262.7923048039622 62.50382667267203)
23219;262.7923048039622;73.24182667267202;POINT (262.7923048039622 73.24182667267202)
23220;262.7923048039622;383.8488159114005;POINT (262.7923048039622 383.8488159114005)
23221;262.7923048039622;394.5868159114005;POINT (262.7923048039622 394.5868159114005)
23222;262.7923048039622;405.3248159114005;POINT (262.7923048039622 405.3248159114005)
23223;262.7923048196609;-445.3586872423824;POINT (262.7923048196609 -445.3586872423824)
23224;262.7923048196609;-434.6206872423824;POINT (262.7923048196609 -434.6206872423824)
23225;262.7923048196609;-423.8826872423824;POINT (262.7923048196609 -423.8826872423824)
23226;262.7923048196609;-113.27569800365391;POINT (262.7923048196609 -113.27569800365391)
23227;262.7923048196609;-102.53769800365392;POINT (262.7923048196609 -102.53769800365392)
23228;262.7923048196609;-91.79969800365392;POINT (262.7923048196609 -91.79969800365392)
23229;262.7923048196609;218.80729123507456;POINT (262.7923048196609 218.80729123507456)
23230;262.7923048196609;229.54529123507456;POINT (262.7923048196609 229.54529123507456)
23231;262.7923048196609;240.28329123507456;POINT (262.7923048196609 240.28329123507456)
23232;262.7923048196609;550.890280473803;POINT (262.7923048196609 550.890280473803)
23233;262.7923048196609;561.6282804738031;POINT (262.7923048196609 561.6282804738031)
23234;262.7923048196609;572.366280473803;POINT (262.7923048196609 572.366280473803)
23235;262.79230484541324;-572.3662311677748;POINT (262.79230484541324 -572.3662311677748)
